city,county_name,state_id,lat,lng,population
Madera,Madera,CA,36.9631,-120.0782,84086
Chino Hills,San Bernardino,CA,33.9508,-117.7253,83853
Alhambra,Los Angeles,CA,34.084,-118.1355,83750
Mountain View,Santa Clara,CA,37.4,-122.0796,82739
Buena Park,Orange,CA,33.8572,-118.0046,81788
Pleasanton,Alameda,CA,37.6663,-121.8805,81777
Folsom,Sacramento,CA,38.6668,-121.1422,81328
Tustin,Orange,CA,33.7309,-117.8106,79348
Lakewood,Los Angeles,CA,33.8471,-118.1221,79307
Perris,Riverside,CA,33.7899,-117.2233,79291
Alameda,Alameda,CA,37.767,-122.2672,77624
Watsonville,Santa Cruz,CA,36.9206,-121.7706,77352
Porterville,Tulare,CA,36.0644,-119.0338,77318
Upland,San Bernardino,CA,34.1178,-117.6603,77140
Davis,Yolo,CA,38.5552,-121.7365,76997
Camarillo,Ventura,CA,34.223,-119.0322,76931
Bellflower,Los Angeles,CA,33.888,-118.1271,76435
San Ramon,Contra Costa,CA,37.7625,-121.9365,75995
Baldwin Park,Los Angeles,CA,34.0829,-117.9721,75251
Rancho Cordova,Sacramento,CA,38.574,-121.2523,75087
Lodi,San Joaquin,CA,38.1218,-121.2932,74773
Union City,Alameda,CA,37.603,-122.0187,74107
Apple Valley,San Bernardino,CA,34.5328,-117.2104,73453
Pittsburg,Contra Costa,CA,38.0182,-121.8964,72588
Redlands,San Bernardino,CA,34.0511,-117.1712,71513
El Paso de Robles,San Luis Obispo,CA,35.6394,-120.656,70248
Walnut Creek,Contra Costa,CA,37.9024,-122.0398,70166
Lynwood,Los Angeles,CA,33.924,-118.2017,69887
Lake Elsinore,Riverside,CA,33.6847,-117.3344,69283
Rocklin,Placer,CA,38.8075,-121.2488,68823
South San Francisco,San Mateo,CA,37.6536,-122.4197,67789
Yorba Linda,Orange,CA,33.889,-117.7714,67644
Petaluma,Sonoma,CA,38.2423,-122.6267,66929
Redondo Beach,Los Angeles,CA,33.8574,-118.3766,66749
Laguna Niguel,Orange,CA,33.5275,-117.705,66385
Tulare,Tulare,CA,36.1996,-119.34,65496
Palo Alto,Santa Clara,CA,37.3913,-122.1468,65364
Dublin,Alameda,CA,37.7161,-121.8963,64826
Carmichael,Sacramento,CA,38.6337,-121.323,64785
San Clemente,Orange,CA,33.4498,-117.6103,64558
Brentwood,Contra Costa,CA,37.9355,-121.7191,64474
Florence-Graham,Los Angeles,CA,33.9682,-118.2447,64162
Eastvale,Riverside,CA,33.9617,-117.5802,64157
Castro Valley,Alameda,CA,37.7091,-122.0631,63288
Encinitas,San Diego,CA,33.049,-117.2613,62709
San Luis Obispo,San Luis Obispo,CA,35.2669,-120.6691,62290
Pico Rivera,Los Angeles,CA,33.9902,-118.0888,62027
Montebello,Los Angeles,CA,34.0155,-118.1108,61954
National City,San Diego,CA,32.6654,-117.0983,61394
Woodland,Yolo,CA,38.6712,-121.75,60598
La Habra,Orange,CA,33.9278,-117.9513,60513
South Whittier,Los Angeles,CA,33.9336,-118.0311,60096
Monterey Park,Los Angeles,CA,34.0497,-118.1326,59669
Gardena,Los Angeles,CA,33.8944,-118.3073,59329
Cupertino,Santa Clara,CA,37.3168,-122.0465,59276
La Mesa,San Diego,CA,32.7703,-117.0204,59249
San Rafael,Marin,CA,37.9905,-122.5222,58440
Santee,San Diego,CA,32.8554,-116.9851,58081
Arcadia,Los Angeles,CA,34.1342,-118.0373,57939
Huntington Park,Los Angeles,CA,33.98,-118.2167,57509
Diamond Bar,Los Angeles,CA,33.9991,-117.8161,55720
Novato,Marin,CA,38.092,-122.5576,55516
Highland,San Bernardino,CA,34.1113,-117.1654,55417
Fountain Valley,Orange,CA,33.7105,-117.9514,55357
Cathedral City,Riverside,CA,33.8363,-116.4642,55007
Hacienda Heights,Los Angeles,CA,33.997,-117.9728,54970
Delano,Kern,CA,35.767,-119.2637,54917
Colton,San Bernardino,CA,34.0538,-117.3254,54824
Arroyo Grande,San Luis Obispo,CA,35.1241,-120.5845,54177
Rosemead,Los Angeles,CA,34.0689,-118.0823,54058
Paramount,Los Angeles,CA,33.8976,-118.1652,53955
Yucaipa,San Bernardino,CA,34.0336,-117.0429,53921
West Sacramento,Yolo,CA,38.5557,-121.5504,53519
Palm Desert,Riverside,CA,33.7378,-116.3695,53275
Lompoc,Santa Barbara,CA,34.6618,-120.4714,52020
Glendora,Los Angeles,CA,34.1449,-117.8468,51544
Placentia,Orange,CA,33.8807,-117.8553,51233
Beaumont,Riverside,CA,33.9076,-116.9766,51063
Aliso Viejo,Orange,CA,33.5792,-117.7289,50887
Rowland Heights,Los Angeles,CA,33.9716,-117.8911,50602
Azusa,Los Angeles,CA,34.1386,-117.9124,49974
Cerritos,Los Angeles,CA,33.8677,-118.0686,49859
Oroville,Butte,CA,39.4999,-121.5634,49513
Poway,San Diego,CA,32.9871,-117.0201,49323
San Jacinto,Riverside,CA,33.797,-116.9916,49215
Newark,Alameda,CA,37.5204,-122.0312,49149
Florin,Sacramento,CA,38.4832,-121.4042,49132
Reedley,Fresno,CA,36.5987,-119.4473,49042
Cypress,Orange,CA,33.8171,-118.0386,49006
Hollister,San Benito,CA,36.8563,-121.3981,48992
North Highlands,Sacramento,CA,38.6713,-121.3721,48968
Ceres,Stanislaus,CA,37.5953,-120.9625,48706
Palm Springs,Riverside,CA,33.8017,-116.5382,48518
Lincoln,Placer,CA,38.8759,-121.2916,48275
La Mirada,Los Angeles,CA,33.9025,-118.0093,48183
Rancho Santa Margarita,Orange,CA,33.6318,-117.5989,47896
Covina,Los Angeles,CA,34.0903,-117.8817,47450
Antelope,Sacramento,CA,38.7153,-121.361,47326
Morgan Hill,Santa Clara,CA,37.1326,-121.6417,45952
Coachella,Riverside,CA,33.6905,-116.143,45743
El Dorado Hills,El Dorado,CA,38.675,-121.049,45599
Altadena,Los Angeles,CA,34.1928,-118.1345,45146
Selma,Fresno,CA,36.5715,-119.6143,44703
Danville,Contra Costa,CA,37.8121,-121.9698,44510
Eureka,Humboldt,CA,40.7942,-124.1568,44236
Desert Hot Springs,Riverside,CA,33.9551,-116.543,43914
Rohnert Park,Sonoma,CA,38.348,-122.6964,43291
